Index,Title,Price,Color
378,Waterproof: GO RUN Trail Altitude 2.0,"110,00 ",1 
379,Max Cushioning Elite 2.0 - Levitate,"110,00 ",2 
380,On-the-GO Joy - Cozy Haven,"80,00 ",1 
381,Skechers Slip-ins: Breathe-Easy - Roll-With-Me,"80,00 ",2 
382,Summits - Sneak Peek,"70,00 ",2 
383,On-the-GO Encore - Snow-Capped,"80,00 ",1
384,Uno - Disco Rave,"100,00 ",1 
385,GO WALK 7 - Vina,"85,00 ",5 
386,Relaxed Fit: Edgeride - Smooth Journey,"70,00 ",2 
387,Skechers Slip-ins: Reggae 2.0 - Sunny Sky,"80,00 ",2 
388,Skechers Slip-ins: BOBS Too Cozy - Family Tree,"50,00 ",1 
389,GO RUN Persistence 2,"125,00 ",1 
390,On-the-GO Glacial Ultra - Mountain Muse,"90,00 ",1 
391,GO RUN Elevate 2.0,"85,00 ",2 
392,Skechers Slip-ins: Ultra Flex 3.0 - Heart Me,"110,00 ",1 
393,On-the-GO Glacial Ultra - Cozyly,"90,00 ",4 
394,BOBS Vista,"70,00 ",2 
395,Million Air - Elevated Luxe Air,"95,00 ",2 
396,Ultra Flex 2.0 - Social Crew,"80,00 ",1 
397,On-the-GO Glacial Ultra - Tahoe,"90,00 ",2 
398,Skechers Slip-ins: GO WALK Flex - Mali,"90,00 ",2 
399,Be-Cool - Classy Step,"65,00 ",2 
400,GO WALK Arch Fit 2.0 - Mountain View,"100,00 ",2 
401,Ultra Flex 2.0 - Icelyn,"75,00 ",2 
402,Mark Nason: A Linear 2.0 - Jovy,"90,00 ",1 
403,Virtue,"65,00 ",1 
404,Virtue - Ambrosia,"65,00 ",1 
405,Uno Rugged - Dancing N The Rain,"85,00 ",2 
406,Waterproof: Arch Fit 2.0 - Rainy Days,"125,00 ",2 
407,D'Lites - Vintage Vision,"90,00 ",1 
408,Skechers Slip-ins: D'Lites - New Scene,"90,00 ",1 
409,Ultra Flex 2.0 - Casual Mix,"75,00 ",1 
410,Hiland - Soft Metals,"80,00 ",1 
411,Synergy - Cool Seeker,"70,00 ",2 
412,On-the-GO Stellar - Cozy Step,"100,00 ",3 
413,Skechers Slip-ins: Hazel - Rosalind,"85,00 ",1 
414,Skechers SKX_1.5 Academy TF,"100,00 ",2 
415,Hazel - Pretty Knitty,"75,00 ",3 
416,Reggae Slim - Skech Appeal,"55,00 ",1 
417,Arch Fit 2.0 - Fast Paced,"95,00 ",3 
418,BOBS Keepsakes - Ice Angel,"45,00 ",2 
419,Relaxed Fit: Edgeride - Power Flow,"75,00 ",3 
420,Dynamight 2.0 - Homespun,"55,00 ",1 
421,Skechers Slip-ins: Ultra Flex 3.0 - Easy Win,"95,00 ",1 
422,Work Relaxed Fit: Dighton - Bricelyn SR,"75,00 ",2 
423,On-the-GO Flex - Whisper,"65,00 ",1 
424,Jade - On The Dot,"80,00 ",1 
425,Skech-Air Court - Air Wave,"85,00 ",3 
426,Skech-Lite Pro - Fade Out,"70,00 ",2 
427,JGoldcrown: Uno Lite - Heart of Hearts,"80,00 ",1 
428,Skechers SKX 01 - 1.5 ELITE FG,"225,00 ",2 
429,GO RUN Consistent 2.0 - Engaged,"70,00 ",2 
430,GO WALK Joy - Violet,"65,00 ",1 
431,Uno - - Stand High,"90,00 ",3 
432,Uno Chaos,"145,00 ",3 
433,Work: Squad SR,"65,00 ",1
434,Flex Appeal 5.0 - Uptake,"70,00 ",1 
435,Uno - Night Shades,"90,00 ",4 
436,On-the-GO Glacial Ultra - Wonderland,"80,00 ",3 
437,Skechers Slip-ins: Tres-Air Uno - Easy Steppers,"100,00 ",2 
438,Skechers Slip-ins: BOBS Sport Infinity - Daily,"85,00 ",1 
439,BOBS Arch Comfort B Sweet - A Bind,"70,00 ",3 
440,Skechers BOBS Sport B Flex Hi - Flying HI,"65,00 ",2 
441,GO WALK 7 - Blink,"95,00 ",1 
442,Work Relaxed Fit: Sure Track - Erath SR,"90,00 ",2 
443,Vapor Foam - Smooth Ride,"80,00 ",1 
444,Jade - Too Easy,"75,00 ",1 
445,Skechers Slip-ins: Skech-Lite Pro - Natural,"85,00 ",2 
446,Skechers Slip-ins: Summits AT,"85,00 ",1 
447,Uno - Metallixs,"100,00 ",2 
448,Skechers On-the-GO Dreamy - Groovee Gal,"75,00 ",1 
449,Skechers Max Cushioning Arch Fit 2.0 - Avenida,"120,00 ",1 
450,Skechers On the GO Joy - Savvy,"75,00 ",2 
451,Keepsakes Lite - Snowbird,"60,00 ",2 
452,Billion 2 - Winning Streak,"75,00 ",2 
453,Work Relaxed Fit: Ghenter - Dagsby SR,"90,00 ",1 
454,Skechers Slip-ins Work: Tilido - Ombray,"120,00 ",3 
455,Skechers Slip-ins: BOBS Sport Squad Chaos,"75,00 ",1
456,Arch Fit - Brightest Day,"65,00 ",1 
457,GO RUN Consistent 2.0 - Fast Pace,"70,00 ",2 
458,Uno - Shiny One,"115,00 ",1 
459,GO RUN Trail Altitude 2.0 - Ravine,"80,00 ",1 
460,Skechers BOBS Sport Infinity,"70,00 ",3 
